CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup
COc1ccc(Br)c(OC)c1C(=O)NC[C@H]2N(CC)CCC2,Remoxipride,1.7,170,4.9,,0.65,4.5,1.6,,0.16,0.74,0.12,
c1cccc(c12)S(=O)(=O)N(C2=O)CCCCNC[C@H](O3)CCc(c34)cccc4,Repinotan,2.2,38.3,,,0.21,1.48,,,,0.054,,
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2nc(nc2)C(=O)N,Ribavirin,5.2,43,,3.7,14,11.4,,29.4,1,0.95,,0.4973
FC(F)(F)c1cccc(c1)/C(c2cccnc2)=N\OCCCCC(=O)O,Ridogrel,1.05,2,,,0.43,0.78,,,0.033,0.05,,
Fc(c1)ccc(c12)c(no2)C3CCN(CC3)CCc(c(n4)C)c(=O)n(c45)CCCC5,Risperidone,5.4,71.7,,,1.1,3.6,,,0.1,0.118,0.083,0.084
s1ccn(c12)c(=O)c(c(n2)C)CCN3CCC(CC3)=C(c4ccc(F)cc4)c5ccc(F)cc5,Ritanserin,0.51,26.7,,,1.41,8,,,0.008,0.015,,
O[C@H](C)[C@H]1C(=O)N([C@@H]12)C(C(=O)O)=C(S2)COC(=O)N,Ritipenem,7.55,15.5,7.4,4.65,0.24,0.05,0.22,0.14,0.72,0.5,0.95,0.56
CN(C)CCc(c[nH]1)c(c12)cc(cc2)Cn3ncnc3,Rizatriptan,16,79,40,,1.9,,2.5,,0.86,,,
Nc1scc(n1)/C(=N/O)C(=O)N[C@@H]2C(=O)N([C@@H]23)C(C(=O)O)=C(CS3)/C=C4/C(=O)N(CC4)CC(F)(F)F,Ro25-6833,0.38,0.95,2.7,0.77,0.11,0.15,0.18,0.12,0.043,0.025,0.16,0.05
[C@H]12CSSCC/C=C\[C@H](CC(=O)NC(C(=O)N1)C(C)C)OC(=O)C(C(C)C)NC(=O)C(\NC2=O)=C\C,Romidepsin,7.4,625,,27.9,1.2,63.8,,4.95,,,,
CCCN1CCCC[C@H]1C(=O)Nc2c(C)cccc2C,Ropivacaine,5.5,,30,,0.75,,1.42,,0.06,,,
c1cccc(c12)n(C)c(=O)c(c2O)C(=O)N(C)c3ccccc3,Roquinimex,0.08,0.17,,,0.21,0.32,,,,,,
O=C1NC(=O)SC1Cc2ccc(cc2)OCCN(C)c3ncccc3,Rosiglitazone,0.65,1.3,,,0.2,0.2,,,0.002,,,
c1cccc(c12)sc(n2)N(C)C3CCN(CC3)CC(O)COc4ccc(F)cc4,Sabeluzole,4.05,35.9,,,5.5,5.8,,,0.014,0.016,,
C1CCC[C@H]([C@H]12)C[C@@H](C(=O)NC(C)(C)C)N(C2)C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c(cc4)nc(c45)cccc5,Saquivir,13,80,,,3.6,3,,,0.028,0.007,,
ClCCN(N=O)C(=O)NC(C)C(=O)N,SarCNU,9,,17.6,,0.76,,0.81,,,,,
O[C@H](C)[C@H]1C(=O)N([C@@H]12)C(C(=O)O)=C(S2)SCCOC(=O)N,Sch34343,7.5,22.8,8.9,6.7,0.3,0.14,0.24,0.21,0.35,,,
C#CCN(C)[C@H](C)Cc1ccccc1,Selegiline,20,,160,,1.9,,9.46,,0.13,0.31,,
O=S(=O)(C)Nc1ccc(cc1)C(=O)NCCN(CC)CC,Sematilide,3.7,25.6,9,,0.82,2.08,1.4,,0.96,0.91,0.95,
c1cccc(c12)/C(C(=O)N2)=C/c3[nH]c(C)cc3C,Semaxanib,14,45,52,27.7,0.98,1.6,1.4,1.63,0.008,0.007,,
CN1CCN(CC1)S(=O)(=O)c2cc(c(cc2)OCC)-c(nc3=O)[nH]c(c34)c(nn4C)CCC,Sildefil,9.1,48,12,,1.4,1.1,5.2,,0.04,0.05,0.14,
c1cccc(c12)C(=O)N(CO2)CCO[N+]([O-])=O,Sinitrodil,29.59,84.9,63.7,26.3,0.68,1.99,1.18,0.98,,,,
FC(F)(F)c(nn1)n(c12)CCN(C2)C(=O)C[C@H](N)Cc3c(F)cc(F)c(F)c3,Sitagliptin,6,45,9.1,,2.8,8.1,3.3,,0.62,0.68,0.5561,
O=S(=O)(C)Nc1ccc(cc1)C(O)CNC(C)C,Sotalol,2,,14.7,,1.3,,,,0.62,,,
C[C@@H]1CN(C[C@@H](N1)C)c(c(F)c2N)c(F)c(c23)n(C4CC4)cc(c3=O)C(=O)O,Sparfloxacin,2.7,19.6,,,3.9,3.5,,,0.55,0.5,,
OP(=O)(O)CC(=O)N[C@H](C(=O)O)CC(=O)O,Sparfosic Acid,1.22,17.4,4.1,2.3,0.33,1.1,0.29,0.2,,,,
OC[C@@H]1C=C[C@@H](O1)n2cc(C)c(=O)[nH]c2=O,Stavudine,8.2,20.2,,9.4,0.67,1.09,,0.8,1,0.9,0.9,0.9
C1C(=O)N([C@@H]12)[C@@H](C(=O)O)C(C)(C)S2(=O)=O,Sulbactam,5.1,,3.56,,0.32,,0.34,,0.62,,,
Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2,Sulfadiazine,0.55,1.1,,0.64,0.29,0.34,,0.5,0.44,0.86,0.78,0.4629
c1ccccc1S(=O)CCC2C(=O)N(c3ccccc3)N(C2=O)c4ccccc4,Sulfinpyrazone,0.34,0.46,0.84,0.45,0.12,0.43,0.21,0.12,0.017,0.0031,0.0386,0.0185
Nc1ccc(cc1)S(=O)(=O)Nc2onc(C)c2C,Sulfisoxazole,0.3,0.65,1.38,,0.17,0.25,0.86,,0.079,0.056,0.6,
CNS(=O)(=O)Cc(cc1)cc(c12)c(c[nH]2)CCN(C)C,Sumatriptan,19,28,13.9,,1.7,1.15,1.74,,0.83,0.85,0.86,
[O-]S(=O)(=[OH+])c(c1)cc(S(=O)(=[OH+])O)c(c12)c(ccc2S([O-])(=O)=O)NC(=O)c3cc(c(C)cc3)NC(=O)c4cc(ccc4)NC(=O)Nc5cccc(c5)C(=O)Nc6c(C)ccc(c6)C(=O)Nc(ccc7S([O-])(=O)=O)c(c78)c(S(=O)(=[OH+])O)cc(c8)S([O-])(=O)=[OH+],Suramin,0.01,0.04,,,0.54,0.75,,,0.003,0.001,,
Cc1cccnc1NS(=O)(=O)c2ccc(cc2)C#Cc3cc(C(=O)O)c(O)cc3,Susalimod,0.07,62,20,1.9,0.1,1.2,0.19,0.08,0.0019,0.0033,0.01,0.003
O[C@]12[C@H](C)C[C@H](OC)[C@H](O1)[C@@H](OC)C[C@@H](C)C/C(C)=C/[C@@H](CC=C)C(=O)C[C@H](O)[C@@H](C)[C@H](OC(=O)[C@H]3N(C(=O)C2=O)CCCC3)/C(C)=C/[C@H]4C[C@@H](OC)[C@H](O)CC4,Tacrolimus,0.7,31.6,232,4.4,1.2,8.95,,3.93,0.01,,0.0066,0.0042
C1CCCCC1NC(=O)Nc2ccc(cc2)OCC(O)CNC(C)(C)C,Talinolol,4.9,47.5,,,3.3,4.5,,,0.39,,,
COc1ccc(cc1S(=O)(=O)N)C[C@@H](C)NCCOc2c(OCC)cccc2,Tamsulosin,0.62,82.2,19.3,,0.21,3.25,1.74,,0.01,0.24,0.1,
CC(C)(C)c1c(O)c(C(C)(C)C)cc(c1)C(=O)CCCC#C,Tebufelone,8.9,41.35,30.9,14.9,12,7.9,24.8,10.4,0.0007,,,
O[C@H]1[C@H](O)[C@@H](CO)O[C@@H]([C@H]1O)Oc(cc(O)c2)c(c23)c4c(O)ccc(c4)[C@@H]5C(=O)N[C@H](C(=O)N[C@H]3C(=O)O)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6NC(=O)C)c7cc(Cl)c(cc7)Oc8cc9[C@H](C(=O)N5)NC(=O)[C@@H]1c2cc(cc(c2)O)Oc2cc(ccc2O)[C@H](N)C(=O)N[C@@H](C(=O)N1)Cc1cc(Cl)c(cc1)Oc(c9)c8O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(=O)CC/C=C\CCCCC,Teicoplanin A2-1,0.2,0.53,0.1,,1.5,1.56,0.26,,0.11,0.023,,
O=P(O)(O)CNCc(c1O)c(O)cc([C@H](NC2=O)C(=O)O)c1c(c3)c(O)ccc3[C@H](C(=O)N[C@H]2[C@H](O)c(ccc45)cc5Cl)NC(=O)[C@H]6c7cc(O4)c(c(c7)Oc8c(Cl)cc(cc8)[C@@H](O)[C@H](C(=O)N[C@H](C(=O)N6)CC(=O)N)NC(=O)[C@H](NC)CC(C)C)O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O[C@H](O[C@@H](C)[C@H]1O)C[C@]1(C)NCCNCCCCCCCCCC,Telavancin,0.2,0.85,1.1,0.95,0.11,0.1,0.14,0.17,0.07,,,0.1337
c1ccncc1-c2ncn(c2)CCCCN(C(O3)=O)[C@@H]([C@]34C)[C@@H](C)C(=O)[C@H](C)C[C@](C)(OC)[C@H](O[C@@H]5O[C@H](C)C[C@H](N(C)C)[C@H]5O)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@@H]4CC,Telithromycin,14,71,,,3,3.3,,,0.41,0.28,,
n1nn(C)c(=O)n(c12)cnc2C(=O)N,Temozolomide,3.6,9.8,,,0.5,0.92,,,,,,
OP(=O)(O)CO[C@H](C)Cn(cn1)c(c12)ncnc2N,Tenofovir,3.1,,5.9,16.2,0.83,,0.9,,0.93,,,
s1ccc(c12)S(=O)(=O)N(C)C(=C2O)C(=O)Nc3ncccc3,Tenoxicam,0.03,0.47,,,0.19,0.22,,,0.0085,0.03,,
O1CCCC1C(=O)N2CCN(CC2)c(nc3N)nc(c34)cc(OC)c(c4)OC,Terazosin,1.1,24.7,,,0.98,2,,,0.08,,,
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,Terbutaline,3.4,60,,,1.5,3.3,,,0.75,,,
c1ccccc1C(CC(C)NC(C)(C)C)c2ccccc2,Terodiline,1.1,,41,,5.1,,,,0.08,,0.14,
OC1=C(C(=O)N)C(=O)[C@@H](N(C)C)[C@@H]([C@@]12O)C[C@H]3C(C2=O)=C(O)c4c([C@]3(O)C)cccc4O,Tetracycline,1.5,18.7,,,1.2,2.2,,,0.78,,,
CC(C)c1ccc(nc1)S(=O)(=O)Nc2nc(-c3cc(ncc3)-c4n[nH]nn4)nc(OCCO)c2Oc5c(OC)cccc5,Tezosentan,8.1,4.3,,15.6,0.28,0.27,,0.21,0.0085,,,
[nH]1cnc(c12)n(C)c(=O)n(C)c2=O,Theophylline,0.86,2.25,1.8,3.8,0.51,0.55,0.68,0.69,0.61,0.37,0.8635,0.684
Cc1ccsc1C(c2sccc2C)=CCC[NH+]3C[C@H](C([O-])=O)CCC3,Tiagabine,1.6,89,,,1.1,2.05,,,0.04,,,
O=C(N)c1nc(sc1)[C@H]2[C@H](O)[C@H](O)[C@H](O2)CO,Tiazofurin,2.4,6.9,#REF!,7.3,1.1,,0.99,2,0.4709,,0.85,1
OC(=O)[C@@H](C(S1)(C)C)N([C@H]12)C(=O)[C@H]2NC(=O)[C@H](C(=O)O)c3ccsc3,Ticarcillin,1.8,,4.3,,0.16,,0.28,,0.55,,,
CCS(=O)(=O)CCn1c(C)ncc1[N+]([O-])=O,Tinidazole,0.6,,1.67,,0.59,,0.89,,0.8,,,
CCCCS(=O)(=O)N[C@H](C([O-])=O)Cc1ccc(cc1)OCCCCC2CC[NH2+]CC2,Tirofiban,4.3,,36.44,,0.99,1.42,0.52,,0.36,0.15,0.55,
O[C@@H]1[C@@H](N)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H]2[C@@H](O)[C@@H]([C@@H](N)C[C@H]2N)O[C@H]3O[C@H](CN)[C@@H](O)C[C@H]3N,Tobramycin,1.6,15.7,,,0.23,0.68,,,1,,,
NC(C)C(=O)Nc1c(C)cccc1C,Tocainide,2.2,37.8,,,1.8,5,,,0.87,,,
Cc1ccc(cc1)S(=O)(=O)NC(=O)NCCCC,Tolbutamide,0.21,0.42,,,0.12,0.13,,,0.05,0.04,,
Cc1ccc(cc1)C(=O)c2cc([N+]([O-])=O)c(O)c(O)c2,Tolcapone,1.9,8.8,1.9,,0.12,0.21,0.16,,0.0012,,,
O[C@H](C)[C@H]1C(=O)N([C@@H]12)C(C(=O)O)=C([C@@H]2C)S[C@@H]3CN(C)[C@@H](C3)C(=O)N4C[C@H](CC4)NC(=O)CN=C(N)N,Tomopenem,1.9,15.7,3.96,1.7,0.23,0.2,0.25,0.18,0.91,0.95,0.928,0.85
C1OC(=O)[C@](O)(CC)c(c12)cc3n(c2=O)Cc4c3nc5c(c4)c(c(O)cc5)CN(C)C,Topotecan,13,34.4,17.6,96.1,1.8,3.08,1.7,7.38,0.65,0.747,,0.8
CC(C)NC(=O)NS(=O)(=O)c1c(ccnc1)Nc2cc(C)ccc2,Torsemide,0.53,3.74,0.14,,0.21,0.23,0.08,,0.01,0.06,0.02,
c1ccc(OC)cc1[C@@]2(O)CCCC[C@@H]2CN(C)C,Tramadol,6.5,63.5,54.63,,2.8,3.86,3.01,,0.8,0.75,0.7454,
Clc1cccc(c1)N2CCN(CC2)CCCn(n3)c(=O)n(c34)cccc4,Trazodone,1.4,51.8,,,0.52,1.76,,,,0.12,,
CCCCC[C@H](O)CC[C@@H]([C@H](O)C1)[C@H]([C@H]12)Cc3c(C2)c(ccc3)OCC(=O)O,Treprostinil,10.7,,35.8,,0.23,,0.11,,,,,
c1ccccc1-c(c(n2)N)nc(c23)c(N)nc(n3)N,Triamterene,63,10.1,,,13,2.2,,,0.42,,,
Clc1ccccc1C2=NCc(nnc3C)n3c(c24)ccc(Cl)c4,Triazolam,3,60.8,,,0.58,3.4,,,0.1,,,
COc1c(OC)cc(cc1OC)Cc2c(N)nc(N)nc2,Trimethoprim,2.1,40,6.4,,1.5,2.1,1.74,,0.5,0.51,0.708,
COc1c(OC)cc(cc1OC)NCc(cc2)c(C)c(c23)c(N)nc(n3)N,Trimetrexate,0.77,71.1,33.2,8.5,0.77,9.2,11.7,1.56,0.05,,1,0.1
O[C@H]1[C@H](NC)[C@H](O)[C@H](NC)[C@@H](O2)[C@@H]1O[C@@H]([C@@]23O)O[C@@H](CC3=O)CCCC,Trospectomycin,1.7,4.28,2.69,,0.7,4.46,49.8,,0.649,0.62,0.5327,
[NH3+]C1[C@@H]([C@@H]12)CN(C2)c(c(F)c3)nc(c34)n(cc(c4=O)C([O-])=O)-c5c(F)cc(F)cc5,Trovafloxacin,1.4,13.5,9.13,5.93,1.3,0.75,1.37,1.93,0.24,0.07,0.25,0.34
OC[C@H]1OC[C@H](O1)n2ccc(N)nc2=O,Troxacitabine,2.4,23,,,1,1.42,,,,,,
C1C[N+](C)(C)[C@@H]2Cc(ccc3O)cc3Oc(c4)c(OC)cc(CCN5C)c4[C@@H]5Cc(cc6)ccc6Oc(c2c17)c(O)c(c7)OC,Tubocurarine,3.4,,3.73,,0.45,,0.37,,0.58,,,
c1cccc(c12)O[C@H](C)CN[C@@H](C3CC3)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C(=O)NCCC2)Cc4ccc(F)cc4,TZP-101,0.1,4.04,,8.8,0.1,0.45,,0.23,,0.13,0.15,0.17
OCCN(S(=O)(=O)C)c(c(Cl)c(Cl)c1)c(c12)[nH]c(=O)c(=O)[nH]2,"UK-240,455",6,12,13,,0.8,0.4,0.8,,0.13,0.03,0.15,
OC(=O)CCCCCCCCCCCCCCCCCCC,Valproic Acd,0.16,4.2,3.03,4.2,0.14,0.66,0.33,0.25,0.084,0.366,0.215,0.22
CC(C)C[C@@H]1N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](C(C)C)NC(=O)[C@@H](N(C)C(=O)[C@@H](N(C1=O)C)C(C)C)C(=O)[C@H](C)C/C=C/C,Valspodar,2.6,5.5,,,1.8,3.9,,,0.022,,,
N[C@]1(C)[C@H](O)[C@H](C)O[C@H](C1)O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2Oc(c34)c5cc(c3)[C@@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](NC(=O)[C@H](NC)CC(C)C)[C@H](O)c6cc(Cl)c(O4)cc6)C(=O)N[C@@H]7c8cc(c(O)cc8)c9c(cc(O)cc9O)[C@@H](C(=O)O)NC(=O)[C@@H](NC7=O)[C@H](O)c1cc(Cl)c(O5)cc1,Vancomycin,1.3,15,,,0.54,0.8,,,0.7,,,
C1CCCCC1(O)C(CN(C)C)c2ccc(OC)cc2,Venlafaxine,14,64.5,13.5,41,4.4,6.6,3.3,3.5,0.73,0.59,0.5932,0.708
COc1ccc(cc1OC)C(C#N)(C(C)C)CCCN(C)CCc2cc(OC)c(OC)cc2,Verapamil,18,33.5,26.8,22.8,3.7,2.15,3.8,5.35,0.093,0.1045,0.2265,0.341
OC12CC3CC(C2)(CC(C3)C1)NCC(=O)N4[C@H](C#N)CCC4,Vildagliptin,9.9,48.3,21.7,25,1.03,8.6,1.6,0.7,0.8851,0.92,0.97,0.9597
[C@@]123[C@H]4N(CC1)CC=C[C@@]4(CC)[C@@H](OC(=O)C)[C@](O)(C(=O)OC)[C@@H]2N(C)c5c3cc(c(c5)OC)[C@](C[C@@H]67)(C(=O)OC)c8c(c9c([nH]8)cccc9)CCN(C6)C[C@](C7)(O)CC,Vinblastine,3.1,25,22,7,28,,2.3,2.1,0.14,,,
[C@@]123[C@H]4N(CC1)CC=C[C@@]4(CC)[C@@H](OC(=O)C)[C@](O)(C(=O)OC)[C@@H]2N(C=O)c5c3cc(c(c5)OC)[C@](C[C@H]67)(C(=O)OC)c8c(c9c([nH]8)cccc9)CCN(C6)C[C@](C7)(O)CC,Vincristine,2,,9.8,4.8,2.4,,3.1,1.8,0.4,,,
[C@@]123[C@H]4N(CC1)CC=C[C@@]4(CC)[C@@H](O)[C@](O)(C(=O)N)[C@@H]2N(C)c5c3cc(c(c5)OC)[C@](C[C@H]67)(C(=O)OC)c8c(c9c([nH]8)cccc9)CCN(C6)C[C@](C7)(O)CC,Vindesine,2.2,,,7.6,5,,,2.3,,,,
c1ncnn1C[C@](O)(c(c(F)c2)ccc2F)[C@@H](C)c3ncncc3F,Voricozole,8.3,9.1,1.5,,2.2,1.78,0.88,,0.42,0.44,0.49,
c1ccccc1NC(=O)CCCCCCC(=O)NO,Vorinostat,28,129.5,54.7,,0.5,1.6,0.6,,0.29,0.61,0.4581,
c1cccc(c12)c(O)c(c(o2)=O)C(CC(=O)C)c3ccccc3,Warfarin,0.06,0.17,0.3,,0.13,0.24,0.28,,0.015,0.4045,,
OC[C@@H]1CC[C@@H](O1)n2ccc(N)nc2=O,Zalcitabine,5.6,11.2,,10.3,0.54,1,,0.98,,0.85,,
O=C(C)N(CC)c1cccc(c1)-c(ccn2)n(c23)ncc3C#N,Zaleplon,16,20.7,,,1.3,1.72,,,0.4,,,
OC[C@@H](O)[C@@H](O)[C@H]1[C@H](NC(=O)C)[C@H](C=C(O1)C([O-])=O)[NH+]=C(N)N,Zamivir,1.6,31.7,,,0.23,0.8,,,0.86,,,
[N-]=[N+]=N[C@H]1C[C@@H](O[C@@H]1CO)n2cc(C)c(=O)[nH]c2=O,Zidovudine,25,25.1,14,,1.8,0.86,1,,0.8,0.687,0.827,0.707
COc1c(Cl)c(O)c(Cl)c(C)c1C(=O)O[C@H]2[C@H](O[C@@H](C[C@@]3([N+]([O-])=O)C)O[C@@H](C)[C@@H]3OC)C[C@@H](O[C@@H]2C)O[C@H]([C@H](O4)C)[C@H](O)C[C@@]45O[C@@]6(C)[C@H](O5)[C@@H](C)O[C@H]([C@H]6O)O[C@H]7[C@@H](OC)[C@@H](C)O[C@H]([C@@H]7O)O[C@H]8[C@H](O)[C@H](OC)[C@@H](O[C@@H]8COC)O[C@H](OC9)[C@H](O)[C@H](O1)[C@H]9O[C@]12[C@H]1[C@@H](OCO1)[C@@H](CO2)OC(=O)c1c(C)cc(O)cc1O,Ziracin,0.61,,,16.6,0.39,,,0.22,,,,
OP(=O)(O)C(O)(P(=O)(O)O)Cn1ccnc1,Zoledronic Acid,2.2,,4.13,,0.6,,0.28,,0.78,,,
O=C1OC[C@@H](N1)Cc(cc2)cc(c23)c(c[nH]3)CCN(C)C,Zolmitriptan,6.7,29.4,,,1.8,3.53,,,0.75,,,
Cc1ccc(cc1)-c(n2)c(CC(=O)N(C)C)n(c23)cc(C)cc3,Zolpidem,4.3,48.7,,,0.54,1.05,,,0.08,0.17,,
